페이스,1
AS,1
소녀,1
느낌,2
ㅎㅎㅎ,1
오클리,1
스탠드,1
데이트,1
성수동,1
서로,1
장난,1
각자,1
장갑,2
착하다,1
렌트,1
샵,1
코스,1
목소리,1
들리다,1
실감,1
보일러,1
견디다,1
늦,1
헬로,1
마켓,1
연락,1
부탁드리다,1
물건,1
가기,2
털,1
방한,3
셑트,1
30000원,1
털모자,1
25000원,2
방수,1
배송,1
알,2
◇,1
4시,1
아이스크림,1
싱글,1
컵,1
괜히,1
일찍,1
발동,1
걸리다,1
기다,4
연휴,3
쨉쪼롬,1
쇼핑,1
버젼,1
사보다,1
샌드맨,1
젤로,1
원피스,1
xs,1
사이즈,39
엑스,2
라지,1
궁,1
스몰,1
외쿡,1
다리,1
놨어,1
싯,1
밤좀,1
아빠,1
본색,1
"5,000",1
상자,1
군산,1
식당,2
신기하다,1
꿀맛,1
치즈케이크,1
메리,2
공,1
옥,1
숙박시설,1
중점,1
충청,1
감영,1
전통,3
공간,1
그나저나,1
땜,1
살찌다,1
채,1
썰다,1
생선,1
구이,1
쏘다,1
악,1
유행,1
발견,1
딱이다,1
해피,1
퍼프,1
베이비,1
멈멈,1
어보,1
낱개,1
서면,1
제모,2
여름,1
오,2
기전,1
앤,3
매일,37
셀프,1
너무도,1
귀찮다,2
뷰티,1
디바이스,1
잘나오다,1
막상,1
준열,1
영화,1
개봉,1
축,1
구름,2
씨유,1
미니스톱,1
공명,1
엽,1
ㅜㅡㅜ,1
울,1
뽀,1
시래기,1
계란빵,1
호떡,2
선호,1
유래,1
19,3
세기,1
만들어지다,1
누구,1
관리,1
고민,1
트러블,1
색소,1
질환,1
이신,1
데,1
낮다,1
내신,1
등급,1
검정고시,1
시험,1
기회,1
작용,1
폭,5
넓어지다,1
떠오르다,1
입시,1
전략,1
2019년,1
은,1
스스로,1
개발,1
힘,1
막연하다,1
다짐,1
발전,1
구체,1
배우다,1
보고,1
휘트니,1
스,2
금요일,1
오늘이,1
휴일,1
힝,1
주로,1
꼬들꼬들,1
전과,1
크게,1
다르다,2
맛나,1
#에어프라이어,1
불다,1
쟤,1
위로,3
잣나무,1
컷을텐데,1
20년,1
호두과자,2
뚜껑,1
여니,1
소비전력,1
600,1
w,3
차이,1
보토,1
1200,1
이마트,1
트,1
레이더스,1
18800,1
구매,1
#보토,1
라이어,1
중지,1
금은,1
안목,1
해변,1
냉기,1
전날,1
채다,1
다비,1
탱,1
구리,1
아날로그,1
적당하다,1
하자,1
자선,1
새벽,1
배사,1
바꾸다,1
파일,1
탐색기,1
주소,1
란,1
경로,2
입력,1
폴더,2
pc,2
이름,1
나타내다,1
예컨대,1
상대방,1
12월,2
추위,1
추워지다,1
할아버지,1
어렵다,1
따스하다,1
자동,1
차보,1
혐료,1
부장,1
부화,1
포아,1
멜라닌,1
롱패딩,1
삼다,1
남매,1
손녹,1
잇다,1
뜨다,2
갈대,1
밭,1
거울,2
샷,1
미동,1
군락,1
지로,1
넘어가다,1
똑같다,1
남친,1
데려오다,1
30일,1
연말,1
남자친구,1
태안,1
행,1
필수,1
뷰,1
못햇,1
급하다,1
닭윙,1
개꾸르맛탱,1
with,1
맥쥬,1
색깔,1
저렇다,1
노랑,1
빨강,1
맹폭,1
생수,1
통,1
오프라인,1
롬,1
인터넷,1
꽃,1
족,1
샤이니,1
물다,1
벌,1
작가,1
mg,1
따라서,1
언급,1
이후,1
경제력,1
슨,1
아줌마,1
아래,1
훑다,1
나쁘다,1
들어오다,1
분명하다,1
설정,2
계약,2
초과,1
정,1
60,1
CI,3
등등,1
비슷하다,1
채우다,1
가요,3
뒤,1
사망,1
금,1
결혼,1
하이힐,1
아우,11
펜디,15
쇼퍼,11
리버,12
맥,10
로우,10
토즈,10
스크린골프,10
타미힐피거,1
스톤아일랜드,2
점퍼,4
토부,1
비비안,1
웨스트우드,1
남성,3
스니커즈,9
광저우,36
지,36
삼촌,36
SHG,36
구찌,9
메신저백,1
27,1
x,26
29,1
업로드,36
네이버,36
벤드,36
가죽,1
시계,4
꽈배기,1
터틀넥,1
ost,1
라쿤,1
상,1
꼼데가르숑,1
